cdcr_code,name,average_2025_population,exposure_score,vulnerability_score,AQI_norm,ratio_indoor_to_outdoor,days_indoor_above_78f_2025,uhi_normalized,medical_acuity,cchcs_age_over_50_pct_2025,cchcs_mental_health_eop_pct_2025,cchcs_dpp_pct_2025,race_peopleofcolor_pct,hazard_score,risk_score,time_period
FOL,Folsom State Prison,2777.0,0.44,0.3,42.258666363697984,1.097,158,0.0,42.2,26.8,0.0,3.4,0.8839274996999159,0.6,30.11,midcentury
HDSP,High Desert State Prison,2719.0,0.39,0.34,23.94519366034654,0.695,89,0.041,65.1,20.3,3.8,17.9,0.8000796861591273,0.38,19.19,current
HDSP,High Desert State Prison,2719.0,0.39,0.34,23.94519366034654,0.695,89,0.041,65.1,20.3,3.8,17.9,0.8000796861591273,0.53,26.62,midcentury
ISP,Ironwood State Prison,2764.0,0.0,0.29,65.61582130994081,0.005,1,0.0,25.799999999999997,35.8,0.0,7.6,0.8630607814761215,0.88,0.0,current
ISP,Ironwood State Prison,2764.0,0.0,0.29,65.61582130994081,0.005,1,0.0,25.799999999999997,35.8,0.0,7.6,0.8630607814761215,0.93,0.01,midcentury
KVSP,Kern Valley State Prison,3092.0,0.33,0.42,54.240175514320654,0.407,66,0.1504,66.4,14.8,10.9,12.2,0.9123814144027595,0.71,36.98,current
KVSP,Kern Valley State Prison,3092.0,0.33,0.42,54.240175514320654,0.407,66,0.1504,66.4,14.8,10.9,12.2,0.9123814144027595,0.79,41.26,midcentury
LAC,California State Prison-Los Angeles County,2949.0,0.3,0.56,34.084143030236156,0.241,39,0.0,76.6,25.0,20.5,21.5,0.9018028710297276,0.64,40.49,current
LAC,California State Prison-Los Angeles County,2949.0,0.3,0.56,34.084143030236156,0.241,39,0.0,76.6,25.0,20.5,21.5,0.9018028710297276,0.75,47.41,midcentury
MCSP,Mule Creek State Prison,3761.0,0.29,0.5,23.079087058140587,0.08,11,0.2625,82.9,38.2,21.1,26.8,0.7051094567047772,0.48,26.18,current
MCSP,Mule Creek State Prison,3761.0,0.29,0.5,23.079087058140587,0.08,11,0.2625,82.9,38.2,21.1,26.8,0.7051094567047772,0.54,29.07,midcentury
NKSP,North Kern State Prison,2570.0,0.62,0.24,58.88274154861368,0.827,134,0.6276,52.8,13.2,3.1,3.8,0.813780804150454,0.72,40.39,current
NKSP,North Kern State Prison,2570.0,0.62,0.24,58.88274154861368,0.827,134,0.6276,52.8,13.2,3.1,3.8,0.813780804150454,0.81,44.92,midcentury
PBSP,Pelican Bay State Prison,2096.0,0.65,0.34,21.345065727058465,15.75,63,0.3096,64.8,25.9,4.5,10.2,0.8045881043256998,0.11,9.24,current
PBSP,Pelican Bay State Prison,2096.0,0.65,0.34,21.345065727058465,15.75,63,0.3096,64.8,25.9,4.5,10.2,0.8045881043256998,0.09,7.23,midcentury
PVSP,Pleasant Valley State Prison,2992.0,0.41,0.21,17.850388774590186,0.411,67,,44.0,11.8,5.1,4.2,0.796401515151515,0.43,13.51,current
PVSP,Pleasant Valley State Prison,2992.0,0.41,0.21,17.850388774590186,0.411,67,,44.0,11.8,5.1,4.2,0.796401515151515,0.5,15.82,midcentury
RJD,R J Donovan Correctional Facility,3592.0,0.37,0.62,71.2991253984341,1.932,114,0.0,82.1,44.8,25.5,33.5,0.7720165181885672,0.51,43.46,current
RJD,R J Donovan Correctional Facility,3592.0,0.37,0.62,71.2991253984341,1.932,114,0.0,82.1,44.8,25.5,33.5,0.7720165181885672,0.48,40.89,midcentury
SAC,"California State Prison, Sacramento",2131.0,0.42,0.62,42.258666363697984,0.93,133,0.0,81.80000000000001,23.7,41.2,16.6,0.8562490223682153,0.53,51.15,current
SAC,"California State Prison, Sacramento",2131.0,0.42,0.62,42.258666363697984,0.93,133,0.0,81.80000000000001,23.7,41.2,16.6,0.8562490223682153,0.6,58.68,midcentury
SATF,Ca Substance Abuse Treatment Facility,5358.0,0.61,0.49,61.689244197361795,0.816,133,0.6008,73.4,34.9,11.5,25.4,0.8041091203185267,0.77,86.19,current
SATF,Ca Substance Abuse Treatment Facility,5358.0,0.61,0.49,61.689244197361795,0.816,133,0.6008,73.4,34.9,11.5,25.4,0.8041091203185267,0.87,97.83,midcentury
SCC,Sierra Conservation Center,4035.0,0.49,0.09,23.802979386426276,1.041,154,0.0,13.399999999999999,10.0,0.0,2.3,0.796489054109872,0.5,8.46,current
SCC,Sierra Conservation Center,4035.0,0.49,0.09,23.802979386426276,1.041,154,0.0,13.399999999999999,10.0,0.0,2.3,0.796489054109872,0.62,10.44,midcentury
SOL,"California State Prison, Solano",3735.0,0.63,0.38,40.62387437615521,1.089,159,0.5815,43.8,28.5,0.0,14.3,0.9250111557340472,0.47,42.93,current
SOL,"California State Prison, Solano",3735.0,0.63,0.38,40.62387437615521,1.089,159,0.5815,43.8,28.5,0.0,14.3,0.9250111557340472,0.49,44.68,midcentury
SQ,San Quentin State Prison,2688.0,0.18,0.46,31.085921282338564,1.414,41,0.0,74.0,51.0,9.2,16.2,0.7486049107142857,0.3,9.38,current
SQ,San Quentin State Prison,2688.0,0.18,0.46,31.085921282338564,1.414,41,0.0,74.0,51.0,9.2,16.2,0.7486049107142857,0.36,11.27,midcentury
SVSP,Salinas Valley State Prison,2387.0,0.23,0.46,12.204984562477916,0.032,1,0.0,71.19999999999999,21.1,11.4,17.8,0.882802681189778,0.21,8.04,current
SVSP,Salinas Valley State Prison,2387.0,0.23,0.46,12.204984562477916,0.032,1,0.0,71.19999999999999,21.1,11.4,17.8,0.882802681189778,0.27,10.82,midcentury
VSP,Valley State Prison,3148.0,0.36,0.5,54.67109503384696,0.321,52,0.0913,68.9,48.8,10.4,34.2,0.7310726387124099,0.68,45.79,current
VSP,Valley State Prison,3148.0,0.36,0.5,54.67109503384696,0.321,52,0.0913,68.9,48.8,10.4,34.2,0.7310726387124099,0.74,50.3,midcentury
WSP,Wasco State Prison,3676.0,0.59,0.24,56.9272052060359,0.819,136,0.4839,54.4,12.3,3.4,5.2,0.8020946681175191,0.72,37.82,current
WSP,Wasco State Prison,3676.0,0.59,0.24,56.9272052060359,0.819,136,0.4839,54.4,12.3,3.4,5.2,0.8020946681175191,0.76,40.06,midcentury
